Category: All categories

Region,"""monkeypox symptoms"": (2/1/22 - 5/17/23)"
Berlin,100
Bavaria,17
Baden-Württemberg,15
Hesse,11
Rhineland-Palatinate,11
North Rhine-Westphalia,9
Lower Saxony,4
Saarland,
Schleswig-Holstein,
Hamburg,
Brandenburg,
Bremen,
Mecklenburg-Vorpommern,
Saxony,
Saxony-Anhalt,
Thuringia,
