Category: All categories

Region,"""monkeypox symptoms"": (2/1/22 - 5/17/23)"
Lisbon,100
Faro District,96
Porto District,82
Azores,
Leiria District,
Viseu District,
Coimbra District,
Aveiro District,
Setubal,
Beja District,
Braga,
Bragança District,
Castelo Branco District,
Évora District,
Guarda District,
Portalegre District,
Santarém District,
Viana do Castelo District,
Vila Real District,
Madeira,
